id,idp,organisation,alias,alias with country code,tenent host name,country,timezone,language,email,term and cons,logo,landing page
1215,https://oala.surrey.ac.uk/oala/metadata,University of Surrey (Institutional Login),surrey,surreyuk,surrey.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*surrey[.][a-zA-Z\._-]*ac[.]uk,,,
1227,https://openathens.aston.ac.uk/oala/metadata,Aston University OpenAthens,aston,astonuk,aston.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*aston[.][a-zA-Z\._-]*ac[.]uk,,,
1231,https://idp.rac.ac.uk/oala/metadata,Royal Agricultural University,rau,rauuk,rau.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*rac[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*royalgcol[.][a-zA-Z\._-]*ac[.]uk,,,
1232,https://fam.salford.ac.uk/oala/metadata,University of Salford (Network Username),salford,salforduk,salford.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*salford[.][a-zA-Z\._-]*ac[.]uk,,,
1233,https://idp.rca.ac.uk/oala/metadata,Royal College of Art,rca,rcauk,rca.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*rca[.][a-zA-Z\._-]*ac[.]uk,,,
1235,https://idp.rvc.ac.uk/oala/metadata,Royal Veterinary College: OpenAthens LA,rvc,rvcuk,rvc.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*rvc[.][a-zA-Z\._-]*ac[.]uk,,,
1243,https://reading.ac.uk/oala/metadata,University of Reading,reading,readinguk,reading.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*reading[.][a-zA-Z\._-]*ac[.]uk,,,
1244,https://auth.buckingham.ac.uk/shibboleth,University of Buckingham,buckingham,buckinghamuk,buckingham.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*buckingham[.][a-zA-Z\._-]*ac[.]uk,,,
1259,https://idp.lancs.ac.uk/idp/shibboleth,Lancaster University (New IdP),lancaster,lancasteruk,lancaster.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*lancaster[.][a-zA-Z\._-]*ac[.]uk,,,
1269,https://idp.uws.ac.uk/oala/metadata,University of the West of Scotland (UWS),uws,uwsuk,uws.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*uws[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*paisley[.][a-zA-Z\._-]*ac[.]uk,,,
1272,https://fedauth.london.edu/oala/metadata,London Business School,lbs,lbsuk,lbs.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*london[.][a-zA-Z\._-]*edu,,,
1278,https://idp.lincoln.ac.uk/oala/metadata,University of Lincoln,lincoln,lincolnuk,lincolnuk.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*lincoln[.][a-zA-Z\._-]*ac[.]uk,,,
1285,https://idp.brookes.ac.uk/idp/shibboleth,Oxford Brookes University,brookes,brookesuk,brookes.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*brookes[.][a-zA-Z\._-]*ac[.]uk,,,
1293,https://shiblogin.hull.ac.uk/idp/shibboleth,University of Hull (Shibboleth),hull,hulluk,hull.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*hull[.][a-zA-Z\._-]*ac[.]uk,,,
1312,https://shibboleth.derby.ac.uk/idp/shibboleth,University of Derby Shibboleth,derby,derbyuk,derby.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*derby[.][a-zA-Z\._-]*ac[.]uk,,,
